image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,duplicate_content_of_image_id,use_count,status
image-eafb955a0f875ba45e8a8575027c46f41fb78539,b40260cc9a4e.png,b40260cc9a4e13fc2805448f389286e949cf1e27eeb4756e6c9e73eb43d62501,b40260cc9a4e,image/png,18243,843,200,RGBA,,1,extracted
image-752df3c31076d518d6928130730041963381cfd7,ce4b7181098c.png,ce4b7181098c6bdfbcfaf0db31feb9ef98723f7cdff700b50c1b6c8a75ed7514,ce4b7181098c,image/png,21614,961,259,RGBA,,1,extracted
image-f9182cbaa5d466b1d8d85e8dab406b76e9bf9c97,3178a4298df3.png,3178a4298df3c9acf7b5df66d7727fbe9e93d02303130ce629a14e852daf8849,3178a4298df3,image/png,28888,953,354,RGBA,,1,extracted
image-51a018e757901bd409e71b028c60de00de225e8c,2ba7f3d42f8c.png,2ba7f3d42f8c4af24162b0dec3ec11eed0668dd18e2046b40b676538e15cc160,2ba7f3d42f8c,image/png,24343,936,310,RGBA,,1,extracted
image-3bc7bbb2b0f716aed4e517f574cd8e2d0ab15210,7684fc56177a.png,7684fc56177ae202541e39560bbeb199c4663c1cfa3180c17a09f26f1642a162,7684fc56177a,image/png,27379,1007,282,RGBA,,1,extracted
image-8408f6dad0767977db25c15d9fc172e12198ccab,c346b098bc11.png,c346b098bc11f536cc6e6339d259cf06be03bcc99e17404a5f53f979f80f974a,c346b098bc11,image/png,36408,969,399,RGBA,,1,extracted
image-1a2761486df63acbe49b090d70eccc326157f5c9,2fa2f2705a51.png,2fa2f2705a5195a878e6f28e720de4fb3995c667be719a1c8183923543bb0719,2fa2f2705a51,image/png,36427,924,374,RGBA,,1,extracted
image-727f8ad19ca243a3fcc00c5d6023f9589081de16,2022fc66ac6e.png,2022fc66ac6e30a523500ca454342fc3623effe776a4483bed44cc0b906a8277,2022fc66ac6e,image/png,43443,831,576,RGBA,,1,extracted
image-6af31eee5d13b5e31208d07b949b3c30efa2d60f,8a62160e61ef.png,8a62160e61efec52ef5d396238b189578be0792a98c72aa452b73012d2074e14,8a62160e61ef,image/png,31111,835,456,RGBA,,1,extracted
image-357e0e7b3543f7d9b9cbad33b1df731682dced68,c09576c82615.png,c09576c826157f14ebb17a13c3e79c41af2b6282d1535aa2cf737f152d9848eb,c09576c82615,image/png,26111,829,351,RGBA,,1,extracted
image-7b9a07a4213f8b217e204a8f0d947c2b14dc4da5,9a4c458ee31c.png,9a4c458ee31c647bf2c255dfd744cd24a33593035aa2f9d392e775e2c46fe82d,9a4c458ee31c,image/png,34050,827,468,RGBA,,1,extracted
image-a5488139744c11be843315ff161f2ed7f7dbcd80,fac0d1dfb223.png,fac0d1dfb223014b255fe22774195e4b51f887a43a09498827cccfeabfdbed1e,fac0d1dfb223,image/png,48875,849,570,RGBA,,1,extracted
image-bd9adf15ef6c046797466abe4e27094d4fa07b35,baba8a3c21de.png,baba8a3c21de26df12700fe3a0e82216f24938dd821f44eee1b0a3a81c40a60d,baba8a3c21de,image/png,18592,588,267,RGBA,,1,extracted
image-8010bb3a24dc01866b9aac5fcb352e6cce4bc0f5,a91303dc81a2.png,a91303dc81a246dab38417ccf26ab5e485b067344f91bc049be436204f1caa26,a91303dc81a2,image/png,23241,646,367,RGBA,,1,extracted
image-4c308be48e07aa2fd6f76fd9924d9d714cb0ab3c,05ea22baa3df.png,05ea22baa3df342fa816a6ab44c5167ba08c7434aa0f33f2fc38f3493f6da652,05ea22baa3df,image/png,31725,851,359,RGBA,,1,extracted
image-2e3967db6e42d6c92d6a72d9ba002760e853d293,551c95fd7cf8.png,551c95fd7cf811731c4a82653cf7f762452ac26c6a64278da26724e343a0471a,551c95fd7cf8,image/png,42141,918,416,RGBA,,1,extracted
image-53e9e23d3d9633c6027c45f9ce49f1e3f952f639,12e6be3a3e23.png,12e6be3a3e23fb7b67e64a5cb005330f833f27ec805ac56288ee042856d9b101,12e6be3a3e23,image/png,17117,833,215,RGBA,,1,extracted
image-14ba8818c6fc03298e462f2903eebd6e00e5842a,93a856dbf485.png,93a856dbf4859d79406f54ad677f6ded8524652db6c22000b7fddda8e6cb0121,93a856dbf485,image/png,42470,812,475,RGBA,,1,extracted
image-edd865b81a21caa032f1a63f6b94f325f6e0155e,34a87c361913.png,34a87c361913f6e8f557337d002369d1526aaa5cc71bda29f5f29ac5fc362b4d,34a87c361913,image/png,48097,834,519,RGBA,,1,extracted
image-d5e146c6b5791d55ab352e0fae429fc000f911a8,935c222051a7.png,935c222051a7422b1c40cfebc6f0fd6bf4a6c855da4e0b5fdf7f20a7308206df,935c222051a7,image/png,23065,842,293,RGBA,,1,extracted
image-36cfa51ae3e79abb87c7f2e8d17c7a152297f36e,23897dbb974b.png,23897dbb974b2882465b37b171dfb1d2bb2a625b2f3beac19614d553fa31d0d9,23897dbb974b,image/png,22957,922,377,RGBA,,1,extracted
