image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,duplicate_content_of_image_id,use_count,status
image-2ea233f355777984ad5502ec4ecefb77872aec09,8fb0ac1bc9e0.png,8fb0ac1bc9e01fabad97362bbc9d00444c90e8b2bd2668eedae0fe5caea06d94,8fb0ac1bc9e0,image/png,23431,936,296,RGBA,,1,extracted
image-ac19ddaf4808616082874caf10a95bfb5f0c825a,a3424527c5d5.png,a3424527c5d5471ad91ad682aabe4e0321e01672a58a36b75b95c7d30e6539db,a3424527c5d5,image/png,21855,644,278,RGBA,,1,extracted
image-2e2bb8be92dbf45e464a861bb9b9a4b3cd46408d,49fdddb4a671.png,49fdddb4a6711de607f360988dfcb7c10e350b0d9fad904e2f5736048e98b4dd,49fdddb4a671,image/png,24074,897,323,RGBA,,1,extracted
image-eda790910d09f90a43414be259c603327cf8b44d,d302e22768af.png,d302e22768af6fe5ca3a6a7e51c4cfab5f4a0beee4647688106bbd7de768a11d,d302e22768af,image/png,28063,767,381,RGBA,,1,extracted
image-8e1c4c37b081345b39c0a2c2ff6e7e60a9960c48,dd12e797e0f1.png,dd12e797e0f1959b05af277193cbc84f67cb228c0ff4f5de86490bf575482275,dd12e797e0f1,image/png,21736,848,274,RGBA,,1,extracted
image-222930f7ee6579b8684ea0f7694cd673451727df,da62b0431237.png,da62b04312376de5510237f5240e851552e58bc1ac31e4477c98cc935d80970c,da62b0431237,image/png,41663,869,471,RGBA,,1,extracted
image-7d8e1455b10428c95ca0e3b57a11a7f89f7c2d9a,4c2480f32817.png,4c2480f32817f84e26a007f1ceaae80cd33fd75a30075c508a6e2dce681acdf1,4c2480f32817,image/png,39268,944,527,RGBA,,1,extracted
image-130e92c73a0dbe66fb7441b775b2a363bbbcbcef,9060279ad10f.png,9060279ad10f43833ed225d84c923c7e0bcb1973692f92f32b150db242ed69da,9060279ad10f,image/png,26354,969,361,RGBA,,1,extracted
image-4c7b9ec1799fd9e2416b7a7d1c68802c3de2b9a9,21efdfc5157c.png,21efdfc5157c8310071cbc01ab5024283490a16ebe9472b395aafbd06f2249f3,21efdfc5157c,image/png,31766,937,304,RGBA,,1,extracted
image-c0a95c2a08367fb26cc78ab2b51dbd6242c8a625,58b308e19c47.png,58b308e19c47bf46b813f9adb83909278136e897ffcb25d62f94a529730458d6,58b308e19c47,image/png,28993,926,492,RGBA,,1,extracted
