symbol_id,sha256,mime,use_count,previously_present,restored
image-cbab6d0e18d50f997c6c148f847579738d012e0b,bf37016a52cc840ac95ed73bab9ba68b483cd7844587c9767a9895188cd1bd9e,png,1,False,True
image-cc038ce4a24e45a758d487729346c41f10069f17,00b46b395b843fe6e830dcd346c367f1aff126060497bbb13a1985f7bd92bc4a,png,1,False,True
image-cd8be72a792655ad50332c3b049e31b4cd077769,682cf03d17f9cee862e6050b6a950b2385208942a944feefa7213c3c49847ade,png,1,False,True
image-d096aff0b1596bd5e910c6e1aab1d9e1d307bd7e,c7f40ab5e039f263d0e7d672b79ecf4ca360eef0857c7b4e46a978c71139fed4,png,1,False,True
image-d2405dde4b6b1670bca29de8de1ef76e5fed9c4e,2e375992ee813bb95c3aa242f5b57e5c8789b0d95c1acf724993e63358d1f01c,png,1,False,True
image-d5b989884a9d7dee25d67da5eaeace20b0977f89,d3ff1abd0561004a2f445b89aa818ce8b28008150b3f55660075d3b6fd2a7bdf,png,1,False,True
image-dcb6041ba99189d7a74f462fad3a28b2bed32ebe,8892515b3b2ce6e90bf60413c4211afcce82f9ab2b1bb67366efb2b458747d51,png,1,False,True
image-de4aa09388079356a2a788bcdaef7c38a2154b4a,34db3a13aa828e5c2e44efc7916857fbb49d65c77bf70ca05a25acb80220c5d8,png,1,False,True
image-e1f48ed183b72221c836b3a5e398972b32bda3f6,0495693a3c63562d99412c85fd9a6a43b03d431fc249c22bfca9d607d96246c1,png,1,False,True
image-e2926c3e7c980a854a75535b05f16a5c50c9e954,e55ce20ee26ce874901d8606c77f7bdf0b948b305ec386cceeb9bdc96bb2c1b0,png,1,False,True
image-e38df2e5cb44a1fdafd8250f6102da23f6e5152c,8f7bfb88ed542e7fb3d561fe0d3365f42dab70d42ac96e668faa7c7747fa3594,png,1,False,True
image-e3bcda9190091ca4a4099d6082ad64d719890526,9ba225bd643c7672ded1e0514877894802182cad7b033cf050ad73cf2a0601ad,png,1,False,True
image-ee7628397922799131508dcaf3550cef64d54d39,97ae100ae6fadd0250196c8b3d61a19e80521b7c9cf18061e88373a16ab8c7f9,png,1,False,True
image-f346fa45563f63000371a57ff27a5ba867f8ed46,5517709e008d7e2459068a1b27f2a6d9459e0a61a1dcf6623ede88545132a94b,png,1,False,True
image-f8c4fa7177163d3a6a007404dda52716860d7b97,c2df791c0e45818e234a3e4706afc6d26abe9d0d89bfe58a0fa0ff40f45ab7f2,png,1,False,True
image-fa81a363b41a31cadee7a66d3373509cbc26de93,f7b160ee669cc8b9bf794d05c5873209103b1e13defb40cbf2bd7dc9887f7f99,png,1,False,True
image-fb5094430656bf2d3fea41191c5eb354b7f56d34,239c25e5c3bee81c92f7f93f2246f9e951a8306b0c97721ba183e99c2d4e1009,png,1,False,True
image-fb7d0696e9f696af0f04e767cb49c3ecf95d59dd,7de8f4420aac3a60f90bcbaeec3e8eab8cdfdae7dc069a960ba3f428ea327f87,png,1,False,True
